variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct
drop_one__target_month_spring_festival_core_days,valid,jan_feb_wd1_10,20,2,7.791483153422344,6.683161626225927
drop_one__target_month_spring_festival_core_days,valid,spring_wd1_10,20,2,7.791483153422344,6.683161626225927
drop_one__target_month_spring_festival_core_days,test,overall,80,4,13.102896691853164,11.545715018177741
drop_one__target_month_spring_festival_core_days,test,jan_feb,37,2,12.234920636248901,11.704898517442842
drop_one__target_month_spring_festival_core_days,test,spring_festival_month,16,1,9.168533968617098,8.831197126932544
drop_one__target_month_spring_festival_core_days,test,high_nonworkday_month,16,1,9.168533968617098,8.831197126932544
drop_one__target_month_spring_festival_core_days,test,wd1_5,20,4,13.004862933931218,12.159791027883749
drop_one__target_month_spring_festival_core_days,test,wd1_10,40,4,13.230798238840901,12.159791027883749
drop_one__target_month_spring_festival_core_days,test,jan_feb_wd1_10,20,2,12.156043793978421,12.159791027883749
drop_one__target_month_spring_festival_core_days,test,spring_wd1_10,10,1,8.626478433538267,8.60339914572291
drop_one__target_month_spring_festival_days,valid,overall,248,12,7.2616925799911565,6.432302116832887
drop_one__target_month_spring_festival_days,valid,jan_feb,38,2,5.726463836826375,6.443538969616459
drop_one__target_month_spring_festival_days,valid,spring_festival_month,38,2,5.726463836826375,6.443538969616459
drop_one__target_month_spring_festival_days,valid,high_nonworkday_month,56,3,5.663078786221699,6.434988289549526
drop_one__target_month_spring_festival_days,valid,wd1_5,60,12,7.704133029866337,6.300244694912514
drop_one__target_month_spring_festival_days,valid,wd1_10,120,12,7.729604371718771,6.594878660454231
drop_one__target_month_spring_festival_days,valid,jan_feb_wd1_10,20,2,7.791483153422344,6.683161626225927
drop_one__target_month_spring_festival_days,valid,spring_wd1_10,20,2,7.791483153422344,6.683161626225927
drop_one__target_month_spring_festival_days,test,overall,80,4,13.102896691853164,11.545715018177741
drop_one__target_month_spring_festival_days,test,jan_feb,37,2,12.234920636248901,11.704898517442842
drop_one__target_month_spring_festival_days,test,spring_festival_month,16,1,9.168533968617098,8.831197126932544
drop_one__target_month_spring_festival_days,test,high_nonworkday_month,16,1,9.168533968617098,8.831197126932544
drop_one__target_month_spring_festival_days,test,wd1_5,20,4,13.004862933931218,12.159791027883749
drop_one__target_month_spring_festival_days,test,wd1_10,40,4,13.230798238840901,12.159791027883749
drop_one__target_month_spring_festival_days,test,jan_feb_wd1_10,20,2,12.156043793978421,12.159791027883749
drop_one__target_month_spring_festival_days,test,spring_wd1_10,10,1,8.626478433538267,8.60339914572291
drop_one__target_month_spring_festival_spans_adjacent_month,valid,overall,248,12,7.2616925799911565,6.432302116832887
drop_one__target_month_spring_festival_spans_adjacent_month,valid,jan_feb,38,2,5.726463836826375,6.443538969616459
drop_one__target_month_spring_festival_spans_adjacent_month,valid,spring_festival_month,38,2,5.726463836826375,6.443538969616459
drop_one__target_month_spring_festival_spans_adjacent_month,valid,high_nonworkday_month,56,3,5.663078786221699,6.434988289549526
drop_one__target_month_spring_festival_spans_adjacent_month,valid,wd1_5,60,12,7.704133029866337,6.300244694912514
drop_one__target_month_spring_festival_spans_adjacent_month,valid,wd1_10,120,12,7.729604371718771,6.594878660454231
drop_one__target_month_spring_festival_spans_adjacent_month,valid,jan_feb_wd1_10,20,2,7.791483153422344,6.683161626225927
drop_one__target_month_spring_festival_spans_adjacent_month,valid,spring_wd1_10,20,2,7.791483153422344,6.683161626225927
drop_one__target_month_spring_festival_spans_adjacent_month,test,overall,80,4,13.102896691853164,11.545715018177741
drop_one__target_month_spring_festival_spans_adjacent_month,test,jan_feb,37,2,12.234920636248901,11.704898517442842
drop_one__target_month_spring_festival_spans_adjacent_month,test,spring_festival_month,16,1,9.168533968617098,8.831197126932544
drop_one__target_month_spring_festival_spans_adjacent_month,test,high_nonworkday_month,16,1,9.168533968617098,8.831197126932544
drop_one__target_month_spring_festival_spans_adjacent_month,test,wd1_5,20,4,13.004862933931218,12.159791027883749
drop_one__target_month_spring_festival_spans_adjacent_month,test,wd1_10,40,4,13.230798238840901,12.159791027883749
drop_one__target_month_spring_festival_spans_adjacent_month,test,jan_feb_wd1_10,20,2,12.156043793978421,12.159791027883749
drop_one__target_month_spring_festival_spans_adjacent_month,test,spring_wd1_10,10,1,8.626478433538267,8.60339914572291
