variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct,baseline_mean_mape_pct,mape_improvement_pct_point
single__target_month_spring_festival_days,test,wd1_10,40,4,15.091289886037128,14.279762701888021,15.357152044390187,0.26586215835305893
single__target_month_spring_festival_days,test,jan_feb_wd1_10,20,2,13.136735752391408,13.290744605625763,13.710941647755709,0.574205895364301
single__target_month_spring_festival_days,test,spring_wd1_10,10,1,10.269918026027144,10.36741324996958,10.53208971624915,0.26217169022200615
single__target_month_spring_festival_spans_adjacent_month,valid,overall,248,12,7.422426334882697,6.626754530254489,7.422426334882697,0.0
single__target_month_spring_festival_spans_adjacent_month,valid,jan_feb,38,2,5.579106495134633,3.569002011098118,5.579106495134633,0.0
single__target_month_spring_festival_spans_adjacent_month,valid,spring_festival_month,38,2,5.579106495134633,3.569002011098118,5.579106495134633,0.0
single__target_month_spring_festival_spans_adjacent_month,valid,high_nonworkday_month,56,3,6.911400540892886,7.236406684860037,6.911400540892886,0.0
single__target_month_spring_festival_spans_adjacent_month,valid,wd1_5,60,12,8.084677485972055,7.34351037544413,8.084677485972055,0.0
single__target_month_spring_festival_spans_adjacent_month,valid,wd1_10,120,12,7.980121732260401,7.028114978236928,7.980121732260401,0.0
single__target_month_spring_festival_spans_adjacent_month,valid,jan_feb_wd1_10,20,2,7.077448985808353,3.5048932392182444,7.077448985808353,0.0
single__target_month_spring_festival_spans_adjacent_month,valid,spring_wd1_10,20,2,7.077448985808353,3.5048932392182444,7.077448985808353,0.0
single__target_month_spring_festival_spans_adjacent_month,test,overall,80,4,14.940562347198343,12.746575046595964,14.940562347198343,0.0
single__target_month_spring_festival_spans_adjacent_month,test,jan_feb,37,2,13.47682153288237,12.787245890825687,13.47682153288237,0.0
single__target_month_spring_festival_spans_adjacent_month,test,spring_festival_month,16,1,10.714613015252883,10.77440457466415,10.714613015252883,0.0
single__target_month_spring_festival_spans_adjacent_month,test,high_nonworkday_month,16,1,10.714613015252883,10.77440457466415,10.714613015252883,0.0
single__target_month_spring_festival_spans_adjacent_month,test,wd1_5,20,4,15.361996498625825,14.663759100926727,15.361996498625825,0.0
single__target_month_spring_festival_spans_adjacent_month,test,wd1_10,40,4,15.357152044390187,14.663759100926727,15.357152044390187,0.0
single__target_month_spring_festival_spans_adjacent_month,test,jan_feb_wd1_10,20,2,13.710941647755709,14.056966817112794,13.710941647755709,0.0
single__target_month_spring_festival_spans_adjacent_month,test,spring_wd1_10,10,1,10.53208971624915,10.810449012309887,10.53208971624915,0.0
drop_one__target_month_workdays,valid,overall,248,12,8.13488032402081,6.269564051890221,7.422426334882697,-0.7124539891381119
drop_one__target_month_workdays,valid,jan_feb,38,2,6.029010463619369,6.786480862260726,5.579106495134633,-0.4499039684847359
drop_one__target_month_workdays,valid,spring_festival_month,38,2,6.029010463619369,6.786480862260726,5.579106495134633,-0.4499039684847359
drop_one__target_month_workdays,valid,high_nonworkday_month,56,3,5.73951139037458,6.400169510674137,6.911400540892886,1.1718891505183056
